date,cash,positions_value,total_value,net_value,return,600036return,600036dividend,000333return,000333dividend,601919return,601919dividend,000858return,000858dividend,002602return,002602dividend,002555return,002555dividend,002466return,002466dividend,002460return,002460dividend,002738return,002738dividend
20240509,555414.7258000001,527676.0,1083090.7258000001,1.0830907258000002,83090.72580000013,-6051.49999999998,4379.76,45831.967200000014,5400.0,43817.065600000016,5140.8,-506.80700000001525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240510,555414.7258000001,529869.0,1085283.7258000001,1.0852837258,85283.72580000013,-3867.4999999999945,4379.76,45903.967200000014,5400.0,44041.065600000016,5140.8,-793.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240513,555414.7258000001,538406.0,1093820.7258000001,1.0938207258000001,93820.72580000013,-3055.500000000009,4379.76,47895.967199999985,5400.0,52105.065600000016,5140.8,-3124.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240514,555414.7258000001,531258.0,1086672.7258000001,1.0866727258000002,86672.72580000013,-4651.49999999998,4379.76,43407.967200000014,5400.0,50873.065600000016,5140.8,-2956.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240515,561894.7258000001,531459.0,1093353.7258000001,1.0933537258000001,93353.72580000013,-5463.500000000009,4379.76,47295.967200000014,11880.0,54457.065600000016,5140.8,-2935.8070000000153,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240516,561894.7258000001,533671.0,1095565.7258000001,1.0955657258000002,95565.72580000013,-2103.4999999999945,4379.76,46287.967200000014,11880.0,52441.065600000016,5140.8,-1059.8070000000007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240517,561894.7258000001,533411.0,1095305.7258000001,1.0953057258,95305.72580000013,-423.49999999999454,4379.76,43143.967200000014,11880.0,51993.065600000016,5140.8,592.1929999999847,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240520,561894.7258000001,533022.0,1094916.7258000001,1.0949167258,94916.72580000013,-1739.4999999999945,4379.76,39639.967199999985,11880.0,55801.065600000016,5140.8,1215.1929999999993,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240521,561894.7258000001,530482.0,1092376.7258000001,1.0923767258000001,92376.72580000013,-2131.4999999999945,4379.76,39591.967200000014,11880.0,54233.065600000016,5140.8,683.1929999999847,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240522,561894.7258000001,523336.0,1085230.7258000001,1.0852307258000002,85230.72580000013,-2635.4999999999945,4379.76,36855.967200000014,11880.0,51321.065600000016,5140.8,-310.80700000001525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
