date,cash,positions_value,total_value,net_value,return,sold_stocks,002466_return,002466_dividend,603025_return,603025_dividend,002003_return,002003_dividend,002188_return,002188_dividend,000707_return,000707_dividend,002030_return,002030_dividend,600295_return,600295_dividend,601918_return,601918_dividend,600499_return,600499_dividend,600179_return,600179_dividend,002069_return,002069_dividend,000683_return,000683_dividend,601001_return,601001_dividend,600256_return,600256_dividend,002432_return,002432_dividend,000820_return,000820_dividend,601699_return,601699_dividend,000983_return,000983_dividend,002356_return,002356_dividend,002175_return,002175_dividend,002076_return,002076_dividend,600566_return,600566_dividend,300071_return,300071_dividend,600867_return,600867_dividend,601138_return,601138_dividend,000651_return,000651_dividend,600136_return,600136_dividend,300033_return,300033_dividend
20200423,1959316.6108999993,3508408.0,5467724.6109,1.09354492218,467724.61089999974,[],-47765.47300000003,0.0,-39325.69140000001,0.0,-20183.212,0.0,98998.5262,0.0,29180.87640000001,0.0,335756.142,0.0,-3135.708400000003,0.0,-5937.296999999991,0.0,4459.726800000004,0.0,75071.5704,0.0,-6804.419400000013,0.0,-30567.41599999997,0.0,-29843.4602,0.0,-35016.49080000003,0.0,189416.448,0.0,-39307.11679999999,0.0,-7272.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200424,1959316.6108999993,3380980.0,5340296.6109,1.0680593221799999,340296.61089999974,[],-49095.47300000003,0.0,-41831.69140000001,0.0,-24943.212,0.0,87518.5262,0.0,24266.87640000001,0.0,284276.142,0.0,-2663.708400000003,0.0,-5937.296999999991,0.0,1428.726799999975,0.0,72659.5704,0.0,-14487.419400000013,0.0,-33671.41599999997,0.0,-29421.4602,0.0,-37771.49080000003,0.0,164120.448,0.0,-46272.11679999999,0.0,-7878.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200427,1959316.6108999993,3276258.0,5235574.6109,1.04711492218,235574.61089999974,[],-52945.47300000004,0.0,-46127.69140000001,0.0,-33903.212,0.0,74890.5262,0.0,24968.87640000001,0.0,245576.14200000002,0.0,-2427.708400000003,0.0,-8441.296999999991,0.0,-4633.273200000054,0.0,59996.5704,0.0,-16260.419400000013,0.0,-36775.41599999997,0.0,-30265.4602,0.0,-39975.49080000003,0.0,155564.448,0.0,-44879.11679999999,0.0,-8787.393899999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200428,1959316.6108999993,3176761.0,5136077.6109,1.02721552218,136077.61089999974,[],-62605.47300000003,0.0,-51139.69140000001,0.0,-34463.212,0.0,62262.52619999999,0.0,15842.876400000008,0.0,228116.14200000002,0.0,-4787.708400000003,0.0,-10945.296999999991,0.0,-8963.273200000025,0.0,47936.5704,0.0,-22761.419400000013,0.0,-42207.41599999997,0.0,-35751.4602,0.0,-45485.49080000003,0.0,160028.448,0.0,-46272.11679999999,0.0,-12726.393899999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200429,1959316.6108999993,3194838.0,5154154.6109,1.03083092218,154154.61089999974,[],-71145.47300000003,0.0,-46664.69140000001,0.0,-26063.212,0.0,57096.52620000002,0.0,7418.876400000008,0.0,240356.14200000002,0.0,-3843.708400000003,0.0,-10319.296999999991,0.0,-7664.273200000025,0.0,36479.5704,0.0,-26307.419400000013,0.0,-41431.41599999997,0.0,-28155.4602,0.0,-43832.49080000003,0.0,167840.448,0.0,-39307.11679999999,0.0,-10302.393899999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200430,1959316.6108999993,3230822.0,5190138.6109,1.03802772218,190138.61089999974,[],-64075.47300000004,0.0,-43084.69140000001,0.0,-23263.212,0.0,58818.526199999964,0.0,10928.876400000008,0.0,227576.14200000002,0.0,-1955.7084000000032,0.0,-10945.296999999991,0.0,-1602.273200000025,0.0,36479.5704,0.0,-21579.419400000013,0.0,-39103.41599999997,0.0,-23935.4602,0.0,-39975.49080000003,0.0,164864.448,0.0,-32342.11679999999,0.0,-6666.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200506,1959316.6108999993,3257083.0,5216399.6109,1.04327992218,216399.61089999974,[],-59805.47300000001,0.0,-38788.69140000001,0.0,-23823.212,0.0,55374.52619999999,0.0,10928.876400000008,0.0,237116.14200000002,0.0,-67.70840000000317,0.0,-12823.296999999991,0.0,5325.726799999975,0.0,25625.570399999997,0.0,-15669.419400000013,0.0,-39103.41599999997,0.0,-18027.4602,0.0,-39975.49080000003,0.0,168212.448,0.0,-32342.11679999999,0.0,-5757.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200507,1959316.6108999993,3266552.0,5225868.6109,1.04517372218,225868.61089999974,[],-60645.47300000003,0.0,-39325.69140000001,0.0,-23263.212,0.0,50782.52619999999,0.0,10928.876400000008,0.0,240536.14200000002,0.0,-2191.708400000003,0.0,-14075.296999999991,0.0,4026.726799999975,0.0,15374.570399999997,0.0,-12123.419400000013,0.0,-39879.41599999997,0.0,-19293.4602,0.0,-42179.49080000003,0.0,202808.448,0.0,-36521.11679999999,0.0,-9090.393899999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200508,1959316.6108999993,3262100.0,5221416.6109,1.0442833221799999,221416.61089999974,[],-48675.47300000003,0.0,-40578.69140000001,0.0,-21863.212,0.0,45616.52619999999,0.0,11630.876400000008,0.0,230816.14200000002,0.0,168.29159999999683,0.0,-14075.296999999991,0.0,3593.726799999975,0.0,9344.570399999997,0.0,-13896.419400000013,0.0,-39103.41599999997,0.0,-18449.4602,0.0,-40526.49080000003,0.0,201692.448,0.0,-37914.11679999999,0.0,-6363.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200511,1962860.8108999992,3262640.0,5225500.810899999,1.0451001621799998,225500.810899999,[],-56795.47300000001,0.0,-44731.49140000001,3544.2000000000007,-21863.212,0.0,57096.52620000002,0.0,10226.876400000008,0.0,232976.14200000002,0.0,-775.7084000000032,0.0,-14075.296999999991,0.0,1428.726799999975,0.0,18992.570399999997,0.0,-15078.419400000013,0.0,-39879.41599999997,0.0,-15917.460200000001,0.0,-41077.49080000003,0.0,203552.448,0.0,-40700.11679999999,0.0,-7878.3938999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
